素材ID,素材名称(中文),素材名称(英文),栏目,优先级,规格要求,推荐来源,联系状态,联系人,联系日期,获取日期,文件路径,备注
changchun-aerial,长春航拍全景,Changchun Aerial View,目的地,P0,1920x1080 WebP,长春市文广旅局,待联系,,,,,需要春/秋两季
changchun-puppet-palace,伪满皇宫建筑群,Puppet Emperor Palace,目的地,P0,1200x800 WebP,伪满皇宫博物院,待联系,,,,,
changchun-chiyou,这有山室内商业体,Chi You Mountain Mall,目的地,P0,1200x800 WebP,商场品牌合作,待联系,,,,,
changchun-tram,54路有轨电车,Route 54 Heritage Tram,目的地,P1,1200x800 WebP,长春轨道交通官方,待联系,,,,,
changbai-tianchi-summer,天池夏季全景,Tianchi Summer Panorama,目的地,P0,1920x1080 WebP,长白山管委会,待联系,,,,,
changbai-tianchi-winter,天池冬季冰封,Tianchi Winter Ice,目的地,P0,1920x1080 WebP,长白山管委会,待联系,,,,,
changbai-snow,滑雪场全貌,Ski Resort Overview,目的地,P0,1920x1080 WebP,万科松花湖/万达长白山度假区,待联系,,,,,
changbai-hot-spring,温泉雾气场景,Hot Spring Mist,目的地,P1,1200x800 WebP,长白山各温泉景区,待联系,,,,,
changbai-fall,秋季五花山,Autumn Colors,目的地,P1,1920x1080 WebP,官方/摄影师授权,待联系,,,,,
changbai-mist,雾凇奇观,Rime Ice Formations,目的地,P0,1920x1080 WebP,魔界/大泉河景区,待联系,,,,,
yanbian-tumen,图们口岸边境线,Tumen Border Crossing,目的地,P0,1920x1080 WebP,延边州文旅局,待联系,,,,,
yanbian-city,延吉市城市风貌,Yanji Cityscape,目的地,P0,1920x1080 WebP,延吉市政府,待联系,,,,,
yanbian-food,延边美食组合,Yanbian Food Combination,目的地,P1,1200x800 WebP,餐厅/美食博主授权,待联系,,,,,
yanbian-costume,朝鲜族传统服饰,Korean Traditional Costumes,目的地,P1,1200x800 WebP,延边文化馆/民族村,待联系,,,,,
yanbian-kidalce,春季金达莱花海,Korean Rhododendron Spring,目的地,P2,1920x1080 WebP,官方/摄影师授权,待联系,,,,,
faw-hongqi-history,红旗历史车型展列,Hongqi Historical Vehicles,工业研学,P0,1920x1080 WebP,一汽红旗官方,待联系,,,,,
faw-hongqi-factory,现代化生产车间,Modern Production Line,工业研学,P0,1920x1080 WebP,一汽红旗官方（内部授权）,待联系,,,,,
faw-hongqi-h9,红旗H9外观三视角,Hongqi H9 Exterior,工业研学,P1,1200x800 WebP,一汽红旗官方产品图,待联系,,,,,
faw-hongqi-brand,红旗品牌文化墙,Hongqi Brand Wall,工业研学,P1,1200x800 WebP,一汽红旗官方,待联系,,,,,
crrc-production,高速列车生产线全景,CRRC Production Line,工业研学,P0,1920x1080 WebP,中车长客官方（内部授权）,待联系,,,,,
crrc-fuxing,复兴号标准动车组,Fuxing EMU,工业研学,P1,1920x1080 WebP,中车长客官方,待联系,,,,,
crrc-exhibition,企业展厅发展历程,CRRC Exhibition Hall,工业研学,P1,1200x800 WebP,中车长客官方,待联系,,,,,
industrial-route-map,工业文明线路示意图,Industrial Route Map,工业研学,P2,1200x800 PNG,自制定制信息图,待联系,,,,,
g331-signage,G331标识牌与起点终点,G331 Signage,331国道,P0,1920x1080 WebP,吉林省公路局,待联系,,,,,
g331-aerial,边境公路蜿蜒航拍,Border Highway Aerial,331国道,P0,1920x1080 WebP,官方/自驾博主授权,待联系,,,,,
g331-border,中朝边境界河/界碑,China-North Korea Border,331国道,P0,1920x1080 WebP,延边州文旅局,待联系,,,,,
g331-station,典型驿站外观与服务设施,Highway Station Facilities,331国道,P1,1200x800 WebP,吉林省公路局/驿站运营方,待联系,,,,,
g331-accommodation,特色住宿（林场民宿/边境木屋）,Border Homestays,331国道,P1,1200x800 WebP,地方文旅局/民宿合作,待联系,,,,,
g331-seasonal,四季路况对比,Seasonal Road Conditions,331国道,P2,1920x1080 WebP,官方/摄影师授权,待联系,,,,,
g331-vehicle,自驾车辆与公路组合,Road Trip Vehicle,331国道,P1,1920x1080 WebP,官方/自驾博主授权,待联系,,,,,
theme-ice-snow,冰雪景观（雾凇/积雪/冰雕）,Ice Snow Landscapes,主题玩法,P0,1920x1080 WebP,吉林省文旅厅/各景区,待联系,,,,,
theme-ice-fishing,查干湖冬捕,Chagan Lake Winter Fishing,主题玩法,P1,1200x800 WebP,查干湖旅游区官方,待联系,,,,,
theme-border,中朝边境公路,China-North Korea Border Road,主题玩法,P0,1920x1080 WebP,延边州文旅局,待联系,,,,,
theme-industrial,工厂大门/标志,Factory Landmark,主题玩法,P1,1200x800 WebP,一汽红旗/中车长客官方,待联系,,,,,
shop-service-pack,研学资料包封面,Study Tour Package Cover,商城,P2,800x600 PNG,自制定制,待联系,,,,,
shop-creative,朝鲜族元素文创,Korean-style Creative Products,商城,P2,800x600 WebP,地方文创合作方,待联系,,,,,
shop-specialty,特产礼盒组合,Specialty Gift Boxes,商城,P2,800x600 WebP,供应商/生产商授权,待联系,,,,,
shop-ginseng,人参/鹿茸等特产,Ginseng Deer Antler,商城,P2,800x600 WebP,供应商授权,待联系,,,,,
